customer_id,customer_type,income,currency,gender,birth_date,channel_type,dependents,geography_city,geography_state,geography_country
CLIAB000115,,0.0,USD,,,,0,APOPA,San Salvador,SLV
CLIAB000116,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000119,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000120,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000121,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000123,,0.0,USD,,,,0,SAN MARCOS,San Salvador,SLV
CLIAB000124,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000126,,0.0,USD,,,,0,ILOPANGO,San Salvador,SLV
CLIAB000127,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000128,,0.0,USD,,,,0,SANTA TECLA,La Libertad,SLV
CLIAB000129,,0.0,USD,,,,0,SAN MIGUEL,San Miguel,SLV
CLIAB000132,,0.0,USD,,,,0,ANTIGUO CUSCATLAN,La Libertad,SLV
CLIAB000133,,0.0,USD,,,,0,SONSONATE,Sonsonate,SLV
CLIAB000135,,0.0,USD,,,,0,MEJICANOS,San Salvador,SLV
CLIAB000136,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000138,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000139,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000140,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000141,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000143,,0.0,USD,,,,0,SANTA ANA,Santa Ana,SLV
CLIAB000145,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000146,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000147,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000148,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000149,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000151,,0.0,USD,,,,0,SAN MARCOS,San Salvador,SLV
CLIAB000152,,0.0,USD,,,,0,CIUDAD DELGADO,San Salvador,SLV
CLIAB000153,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000154,,0.0,USD,,,,0,ANTIGUO CUSCATLAN,La Libertad,SLV
CLIAB000155,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000156,,0.0,USD,,,,0,San Salvador Centro,San Salvador,SLV
CLIAB000158,,0.0,USD,,,,0,IZALCO,Sonsonate,SLV
CLIAB000159,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000161,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000162,,0.0,USD,,,,0,ILOPANGO,San Salvador,SLV
CLIAB000163,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000164,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000165,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000166,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000167,,0.0,USD,,,,0,SOYAPANGO,San Salvador,SLV
CLIAB000168,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000173,,0.0,USD,,,,0,COLON,La Libertad,SLV
CLIAB000174,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000175,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000176,,0.0,USD,,,,0,SANTA TECLA,La Libertad,SLV
CLIAB000177,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000178,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000179,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000180,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000181,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000182,,0.0,USD,,,,0,LA LIBERTAD,La Libertad,SLV
CLIAB000183,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000184,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000185,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000186,,0.0,USD,,,,0,SOYAPANGO,San Salvador,SLV
CLIAB000187,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000188,,0.0,USD,,,,0,NUEVO CUSCATLAN,La Libertad,SLV
CLIAB000189,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000190,,0.0,USD,,,,0,OPICO,La Libertad,SLV
CLIAB000191,,0.0,USD,,,,0,San Salvador Centro,San Salvador,SLV
CLIAB000192,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000193,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000194,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000195,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000196,,0.0,USD,,,,0,LA LIBERTAD,La Libertad,SLV
CLIAB000197,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000198,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000199,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000200,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000201,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000202,,0.0,USD,,,,0,COLON,La Libertad,SLV
CLIAB000204,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000205,,0.0,USD,,,,0,COLON,La Libertad,SLV
CLIAB000206,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000207,,0.0,USD,,,,0,SANTIAGO TEXACUANGOS,San Salvador,SLV
CLIAB000208,,0.0,USD,,,,0,ANTIGUO CUSCATLAN,La Libertad,SLV
CLIAB000209,,0.0,USD,,,,0,ANTIGUO CUSCATLAN,La Libertad,SLV
CLIAB000210,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000211,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000212,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000213,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000214,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000215,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000216,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000217,,0.0,USD,,,,0,SAN MARTIN,San Salvador,SLV
CLIAB000218,,0.0,USD,,,,0,San Salvador Centro,San Salvador,SLV
CLIAB000219,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000220,,0.0,USD,,,,0,LA LIBERTAD,La Libertad,SLV
CLIAB000221,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000222,,0.0,USD,,,,0,SANTA TECLA,La Libertad,SLV
CLIAB000223,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000224,,0.0,USD,,,,0,SANTA TECLA,La Libertad,SLV
CLIAB000225,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000226,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000227,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000228,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000229,,0.0,USD,,,,0,SOYAPANGO,San Salvador,SLV
CLIAB00023,,0.0,USD,,,,0,SANTA ANA,Santa Ana,SLV
CLIAB000230,,0.0,USD,,,,0,SANTIAGO TEXACUANGOS,San Salvador,SLV
CLIAB000231,,0.0,USD,,,,0,SANTA TECLA,La Libertad,SLV
CLIAB000232,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000233,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000234,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000235,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000236,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000237,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000238,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000239,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000240,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000241,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000242,,0.0,USD,,,,0,CHALCHUAPA,Santa Ana,SLV
CLIAB000243,,0.0,USD,,,,0,LA LIBERTAD,La Libertad,SLV
CLIAB000244,,0.0,USD,,,,0,SANTA CRUZ MICHAPA,Cuscatlán,SLV
CLIAB000245,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000246,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000247,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000248,,0.0,USD,,,,0,ANTIGUO CUSCATLAN,La Libertad,SLV
CLIAB000249,,0.0,USD,,,,0,ILOPANGO,San Salvador,SLV
CLIAB000250,,0.0,USD,,,,0,ZARAGOZA,La Libertad,SLV
CLIAB000251,,0.0,USD,,,,0,SANTA ANA,Santa Ana,SLV
CLIAB000252,,0.0,USD,,,,0,SANTA TECLA,La Libertad,SLV
CLIAB000253,,0.0,USD,,,,0,AYUTUXTEPEQUE,San Salvador,SLV
CLIAB000254,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000255,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000256,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000257,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLIAB000258,,0.0,USD,,,,0,La Libertad Este,La Libertad,SLV
CLIAB000259,,0.0,USD,,,,0,LA LIBERTAD,La Libertad,SLV
CLIAB000260,,0.0,USD,,,,0,ANTIGUO CUSCATLAN,La Libertad,SLV
CLIAB000261,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
PAGAB000170,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
